dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP,T,PC,EA19,2006,91.3
A,TO_EMP,EMP,T,PC,EA20,2006,
A,TO_EMP,EMP,T,PC,EE,2006,93.4
A,TO_EMP,EMP,T,PC,EL,2006,82.7
A,TO_EMP,EMP,T,PC,ES,2006,86.6
A,TO_EMP,EMP,T,PC,EU,2006,92.0
A,TO_EMP,EMP,T,PC,EU27_2007,2006,92.0
A,TO_EMP,EMP,T,PC,EU27_2020,2006,91.8
A,TO_EMP,EMP,T,PC,EU28,2006,92.0
A,TO_EMP,EMP,T,PC,FI,2006,89.4
A,TO_EMP,EMP,T,PC,FR,2006,93.8
A,TO_EMP,EMP,T,PC,HR,2006,89.3
A,TO_EMP,EMP,T,PC,HU,2006,91.1
A,TO_EMP,EMP,T,PC,IE,2006,91.6
A,TO_EMP,EMP,T,PC,IS,2006,92.7
A,TO_EMP,EMP,T,PC,IT,2006,87.7
A,TO_EMP,EMP,T,PC,LT,2006,93.2
A,TO_EMP,EMP,T,PC,LU,2006,94.2
A,TO_EMP,EMP,T,PC,LV,2006,88.3
A,TO_EMP,EMP,T,PC,ME,2006,
A,TO_EMP,EMP,T,PC,MK,2006,
A,TO_EMP,EMP,T,PC,MT,2006,95.2
A,TO_EMP,EMP,T,PC,NL,2006,94.6
A,TO_EMP,EMP,T,PC,NO,2006,94.1
A,TO_EMP,EMP,T,PC,PL,2006,93.5
A,TO_EMP,EMP,T,PC,PT,2006,91.7
A,TO_EMP,EMP,T,PC,RO,2006,96.7
A,TO_EMP,EMP,T,PC,RS,2006,
A,TO_EMP,EMP,T,PC,SE,2006,93.9
A,TO_EMP,EMP,T,PC,SI,2006,
A,TO_EMP,EMP,T,PC,SK,2006,94.5
A,TO_EMP,EMP,T,PC,TR,2006,
A,TO_EMP,EMP,T,PC,UK,2006,93.2
A,TO_EMP,EMP_FT,F,PC,AL,2006,
A,TO_EMP,EMP_FT,F,PC,AT,2006,92.6
